Date,AAPL,GOOGL,PG
1/1/2011,10.300095,15.024024,43.570202
2/1/2011,10.721725,15.35035,43.837585
3/1/2011,10.579056,14.683684,42.829411
4/1/2011,10.628231,13.616116,45.123863
5/1/2011,10.558413,13.238739,46.97028
6/1/2011,10.189294,12.672172,44.565693
7/1/2011,11.853057,15.107357,43.107494
8/1/2011,11.681552,13.537538,45.008518
9/1/2011,11.575006,12.888889,44.655128
10/1/2011,12.287133,14.830831,45.227627
11/1/2011,11.601719,14.99975,46.00964
12/1/2011,12.293815,16.163664,47.5345
1/1/2012,13.856498,14.517267,44.919426
2/1/2012,16.465824,15.471722,48.567753
3/1/2012,18.199404,16.047047,48.273254
4/1/2012,17.726765,15.136386,45.709122
5/1/2012,17.53705,14.536036,45.117958
6/1/2012,17.727379,14.516266,44.364658
7/1/2012,18.539677,15.84009,46.747673
8/1/2012,20.193424,17.144394,49.089287
9/1/2012,20.336824,18.88138,50.674675
10/1/2012,18.148586,17.024525,50.587006
11/1/2012,17.842512,17.476727,51.437008
12/1/2012,16.297527,17.702202,50.008015
1/1/2013,13.949231,18.911161,55.363117
2/1/2013,13.517728,20.050051,56.569408
3/1/2013,13.635321,19.874624,57.222855
4/1/2013,13.639019,20.634886,57.007523
5/1/2013,13.853101,21.802301,57.418888
6/1/2013,12.295221,22.031281,57.590916
7/1/2013,14.031615,22.215965,60.066936
8/1/2013,15.107253,21.193693,58.700584
9/1/2013,14.880215,21.91967,56.967224
10/1/2013,16.314392,25.790291,60.855972
11/1/2013,17.35593,26.516266,63.967346
12/1/2013,17.612665,28.045795,61.833073
1/1/2014,15.715837,29.553804,58.194935
2/1/2014,16.520782,30.421673,60.196335
3/1/2014,16.951281,27.89064,61.680946
4/1/2014,18.636169,26.743999,63.173229
5/1/2014,19.99136,28.5825,62.320324
6/1/2014,20.659098,29.2335,60.623272
7/1/2014,21.252663,28.977501,59.643589
8/1/2014,22.786587,29.118,64.622086
9/1/2014,22.508959,29.4205,65.111923
10/1/2014,24.128712,28.393499,67.856667
11/1/2014,26.570621,27.454,70.853035
12/1/2014,24.767366,26.533001,71.37014
1/1/2015,26.288679,26.877501,66.042267
2/1/2015,28.824207,28.1315,67.174805
3/1/2015,28.030134,27.735001,64.657639
4/1/2015,28.192327,27.438499,62.740139
5/1/2015,29.347954,27.266001,62.353901
6/1/2015,28.37343,27.002001,62.234589
7/1/2015,27.439186,32.875,61.009624
8/1/2015,25.507357,32.390999,56.673466
9/1/2015,25.063818,31.918501,57.691956
10/1/2015,27.154366,36.869499,61.25259
11/1/2015,26.881681,38.142502,60.557034
12/1/2015,24.02095,38.900501,64.254845
1/1/2016,22.213556,38.067501,66.099716
2/1/2016,22.065218,35.861,65.533173
3/1/2016,25.00712,38.145,67.181885
4/1/2016,21.508099,35.394001,65.394394
5/1/2016,22.912296,37.442501,66.687157
6/1/2016,22.068407,35.176498,69.674232
7/1/2016,24.055958,39.567001,70.431282
8/1/2016,24.492237,39.4925,72.409691
9/1/2016,26.237959,40.202999,74.433281
10/1/2016,26.351683,40.494999,71.986732
11/1/2016,25.650766,38.793999,68.915382
12/1/2016,27.018864,39.622501,70.269295
1/1/2017,28.308916,41.009499,73.211098
2/1/2017,31.957474,42.246498,76.714325
3/1/2017,33.658772,42.389999,75.68663
4/1/2017,33.656429,46.226002,73.563881
5/1/2017,35.790848,49.3545,74.77227
6/1/2017,33.882389,46.484001,73.974396
7/1/2017,34.990471,47.275002,77.089561
8/1/2017,38.582924,47.762001,78.934776
9/1/2017,36.400917,48.686001,77.831215
10/1/2017,39.924809,51.652,73.861816
11/1/2017,40.588497,51.808498,77.561172
12/1/2017,40.113373,52.669998,79.19014
1/1/2018,39.686707,59.111,74.415291
2/1/2018,42.220608,55.195999,68.191269
3/1/2018,39.931816,51.856998,68.851288
4/1/2018,39.332054,50.929001,62.824184
5/1/2018,44.475269,55,64.133034
6/1/2018,44.226265,56.459499,68.419098
7/1/2018,45.46386,61.361,70.890816
8/1/2018,54.385098,61.59,73.36499
9/1/2018,54.122688,60.354,73.612648
10/1/2018,52.473156,54.528999,78.432877
11/1/2018,42.815758,55.482498,84.327812
12/1/2018,37.951187,52.248001,82.016869
1/1/2019,40.044346,56.294498,86.07666
2/1/2019,41.658733,56.327499,88.628059
3/1/2019,45.89669,58.844501,93.574326
4/1/2019,48.486908,59.948002,95.759659
5/1/2019,42.301315,55.325001,93.202454
6/1/2019,48.006618,54.139999,99.306664
7/1/2019,51.674053,60.91,106.905228
8/1/2019,50.631069,59.526501,109.593826
9/1/2019,54.53159,61.056999,113.376678
10/1/2019,60.567398,62.939999,113.495186
11/1/2019,65.06929,65.204498,111.972649
12/1/2019,71.711754,66.969498,114.577927
1/1/2020,75.584885,71.639,114.321083
2/1/2020,66.756744,66.962502,104.489502
3/1/2020,62.247086,58.0975,101.508835
4/1/2020,71.918648,67.334999,108.771324
5/1/2020,77.827835,71.676003,107.685234
6/1/2020,89.540306,70.902496,111.075958
7/1/2020,104.326248,74.397499,121.805443
8/1/2020,126.691689,81.476501,129.314178
9/1/2020,113.907448,73.279999,129.931168
10/1/2020,107.07164,80.805496,128.164383
11/1/2020,117.094223,87.720001,130.53981
12/1/2020,130.735336,87.632004,130.793625
1/1/2021,130.016098,91.367996,120.519249
2/1/2021,119.473701,101.095497,116.820396
3/1/2021,120.530426,103.125999,128.074051
4/1/2021,129.71701,117.675003,126.173203
5/1/2021,122.957809,117.842499,128.341492
6/1/2021,135.373611,122.0895,128.417572
7/1/2021,144.170532,134.726501,135.36525
8/1/2021,150.071381,144.697495,136.369843
9/1/2021,140.070572,133.675995,133.889359
10/1/2021,148.286713,148.046005,136.944473
11/1/2021,163.630157,141.897507,139.325653
12/1/2021,176.032745,144.852005,157.635162
1/1/2022,173.266907,135.303497,154.618896
2/1/2022,163.690506,135.057007,151.035751
3/1/2022,173.318909,139.067505,148.041946
4/1/2022,156.484299,114.109497,155.550644
5/1/2022,147.739441,113.762001,144.078979
6/1/2022,135.908463,108.962997,140.094116
7/1/2022,161.54538,116.32,135.339554
8/1/2022,156.286774,108.220001,135.266953
9/1/2022,137.57048,95.650002,123.803474
10/1/2022,152.641541,94.510002,132.060303
11/1/2022,147.355713,100.989998,147.307587
12/1/2022,129.552719,88.230003,149.67778
