permno,date,prc,ret,shrout,vwretd,sprtrn
13983,2024-04-30,11.44000,-0.043478,895169.0,-0.042724,-0.041615
13983,2024-05-31,10.36000,-0.094406,867839.0,0.046553,0.048021
13983,2024-06-28,10.02000,-0.032819,867839.0,0.026073,0.034670
13983,2024-07-31,9.95000,-0.006986,867839.0,0.019878,0.011321
13983,2024-08-30,9.38000,-0.057286,867845.0,0.021572,0.022835
13983,2024-09-30,9.39000,0.001066,867845.0,0.020969,0.020197
13983,2024-10-31,7.44000,-0.207668,867845.0,-0.008298,-0.009897
13983,2024-11-29,7.39000,-0.006720,869898.0,0.064855,0.057301
13983,2024-12-31,6.96000,-0.058187,869898.0,-0.031582,-0.024990
16318,2024-04-30,162.53000,-0.170892,55507.0,-0.042724,-0.041615
16318,2024-05-31,186.91000,0.150003,55939.0,0.046553,0.048021
16318,2024-06-28,210.72000,0.127387,56388.0,0.026073,0.034670
16318,2024-07-31,172.58000,-0.180998,56387.0,0.019878,0.011321
16318,2024-08-30,149.78999,-0.132055,56388.0,0.021572,0.022835
16318,2024-09-30,109.03000,-0.272114,56388.0,0.020969,0.020197
16318,2024-10-31,105.25000,-0.034669,56388.0,-0.008298,-0.009897
16318,2024-11-29,129.52000,0.230594,56331.0,0.064855,0.057301
16318,2024-12-31,125.55000,-0.030652,56331.0,-0.031582,-0.024990
82642,2024-04-30,146.71001,-0.048265,232931.0,-0.042724,-0.041615
82642,2024-05-31,123.36000,-0.154659,233022.0,0.046553,0.048021
82642,2024-06-28,106.40000,-0.137484,233022.0,0.026073,0.034670
82642,2024-07-31,99.61000,-0.063816,233022.0,0.019878,0.011321
82642,2024-08-30,91.66000,-0.073185,233177.0,0.021572,0.022835
82642,2024-09-30,99.69000,0.087606,233432.0,0.020969,0.020197
82642,2024-10-31,68.94000,-0.308456,233432.0,-0.008298,-0.009897
82642,2024-11-29,72.12000,0.051204,233436.0,0.064855,0.057301
82642,2024-12-31,74.98000,0.039656,233436.0,-0.031582,-0.024990
