Date,NAV
20010101,100
20010102,97.2
20010103,102.25
20010104,101.16
20010105,98.51
20010108,98.34
20010109,98.74
20010110,99.69
20010111,100.72
20010112,100.07
20010116,100.71
20010117,100.93
20010118,102.35
20010119,101.93
20010122,101.96
20010123,103.31
20010124,103.62
20010125,103.1
20010126,102.93
20010129,103.63
20010130,104.37
20010131,103.78
20010201,104.37
20010202,102.56
20010205,102.91
20010206,102.77
20010207,101.93
20010208,101.3
20010209,99.92
20010212,101.14
20010213,100.28
20010214,100.08
20010215,100.93
20010216,99.03
20010220,97.32
20010221,95.54
20010222,95.34
20010223,94.82
20010226,96.5
20010227,95.76
20010228,94.44
20010301,94.54
20010302,93.98
20010305,94.55
20010306,95.52
20010307,96.16
20010308,96.37
20010309,93.99
20010312,90.01
20010313,91.41
20010314,89.07
20010315,89.58
20010316,87.84
20010319,89.41
20010320,87.27
20010321,85.73
20010322,85.41
20010323,87.12
20010326,88.09
20010327,90.37
20010328,88.2
20010329,87.79
20010330,88.74
20010402,87.63
20010403,84.66
20010404,84.42
20010405,88.21
20010406,86.46
20010409,87.15
20010410,89.57
20010411,89.39
20010412,90.76
20010416,90.45
20010417,91.4
20010418,95.07
20010419,96.31
20010420,95.48
20010423,94.04
20010424,92.89
20010425,94.39
20010426,94.85
20010427,96.28
20010430,96.01
20010501,97.34
20010502,97.43
20010503,96.01
20010504,97.41
20010507,97.17
20010508,97.01
20010509,96.57
20010510,96.56
20010511,95.84
20010514,96.11
20010515,96.14
20010516,98.94
20010517,99.22
20010518,99.48
20010521,101.12
20010522,100.86
20010523,99.31
20010524,99.64
20010525,98.46
20010529,97.69
20010530,96.19
20010531,96.8
20010601,97.18
20010604,97.67
20010605,98.95
20010606,97.94
20010607,98.47
20010608,97.55
20010611,96.73
20010612,96.83
20010613,95.76
20010614,94.09
20010615,93.66
20010618,93.22
20010619,93.54
20010620,94.36
20010621,95.46
20010622,94.55
20010625,94.02
20010626,93.88
20010627,93.47
20010628,94.68
20010629,94.5
20010702,95.47
20010703,95.33
20010705,94.16
20010706,91.99
20010709,92.62
20010710,91.32
20010711,91.22
20010712,93.42
20010713,94.01
20010716,92.99
20010717,93.93
20010718,93.45
20010719,94
20010720,93.66
20010723,92.13
20010724,90.65
20010725,92.1
20010726,93.06
20010727,93.29
20010730,93.2
20010731,93.71
20010801,94.09
20010802,94.48
20010803,94.01
20010806,92.95
20010807,93.26
20010808,91.67
20010809,91.68
20010810,92.2
20010813,92.29
20010814,91.94
20010815,91.29
20010816,91.56
20010817,90.06
20010820,90.8
20010821,89.7
20010822,90.33
20010823,90.07
20010824,91.85
20010827,91.42
20010828,90.05
20010829,89.05
20010830,87.56
20010831,87.92
20010904,87.87
20010905,87.8
20010906,85.86
20010907,84.28
20010910,84.81
20010917,80.77
20010918,80.31
20010919,79.05
20010920,76.67
20010921,75.2
20010924,78.19
20010925,78.87
20010926,78.5
20010927,79.38
20010928,81.13
20011001,80.96
20011002,81.95
20011003,83.63
20011004,83.41
20011005,83.57
20011008,82.88
20011009,82.44
20011010,84.34
20011011,85.62
20011012,85.19
20011015,85.08
20011016,85.68
20011017,84.08
20011018,83.47
20011019,83.85
20011022,85.15
20011023,84.73
20011024,84.77
20011025,85.95
20011026,86.3
20011029,84.28
20011030,82.85
20011031,82.85
20011101,84.78
20011102,85.04
20011105,86.28
20011106,87.55
20011107,87.34
20011108,87.55
20011109,87.68
20011112,87.54
20011113,89.19
20011114,89.41
20011115,89.51
20011116,89.22
20011119,90.19
20011120,89.54
20011121,89.11
20011123,90.15
20011126,90.72
20011127,90.1
20011128,88.5
20011129,89.43
20011130,89.37
20011203,88.62
20011204,89.79
20011205,91.86
20011206,91.62
20011207,90.93
20011210,89.51
20011211,89.25
20011212,89.3
20011213,87.92
20011214,88.21
20011217,89.11
20011218,89.8
20011219,90.33
20011220,89.6
20011221,89.98
20011224,89.95
20011226,90.32
20011227,90.95
20011228,91.25
20011231,90.25
20020102,90.78
20020103,91.63
20020104,92.2
20020107,91.61
20020108,91.3
20020109,90.87
20020110,90.99
20020111,90.14
20020114,89.58
20020115,90.19
20020116,88.72
20020117,89.65
20020118,88.76
20020122,88.13
20020123,88.8
20020124,89.11
20020125,89.2
20020128,89.18
20020129,86.66
20020130,87.7
20020131,89.03
20020201,88.38
20020204,86.23
20020205,85.9
20020206,85.39
20020207,85.14
20020208,86.42
20020211,87.67
20020212,87.32
20020213,88.23
20020214,88.08
20020215,87.11
20020219,85.49
20020220,86.67
20020221,85.33
20020222,86.01
20020225,87.58
20020226,87.58
20020227,87.66
20020228,87.41
20020301,89.42
20020304,91.19
20020305,90.58
20020306,91.91
20020307,91.5
20020308,92.04
20020311,92.34
20020312,92.13
20020313,91.25
20020314,91.17
20020315,92.22
20020318,92.16
20020319,92.54
20020320,91.09
20020321,91.23
20020322,90.86
20020325,89.53
20020326,90.08
20020327,90.55
20020328,90.78
20020401,90.69
20020402,89.91
20020403,89.04
20020404,89.13
20020405,88.84
20020408,89.07
20020409,88.47
20020410,89.49
20020411,87.4
20020412,88
20020415,87.31
20020416,89.37
20020417,89.19
20020418,89.07
20020419,89.11
20020422,87.75
20020423,87.22
20020424,86.6
20020425,86.47
20020426,85.28
20020429,84.42
20020430,85.34
20020501,86.11
20020502,85.96
20020503,85.07
20020506,83.43
20020507,83.18
20020508,86.38
20020509,85.14
20020510,83.72
20020513,85.3
20020514,87.14
20020515,86.67
20020516,87.24
20020517,87.93
20020520,86.78
20020521,85.82
20020522,86.31
20020523,87.19
20020524,86.13
20020528,85.4
20020529,84.86
20020530,84.63
20020531,84.82
20020603,82.73
20020604,82.74
20020605,83.51
20020606,81.87
20020607,81.75
20020610,82.03
20020611,80.66
20020612,81.22
20020613,80.38
20020614,80.21
20020617,82.54
20020618,82.62
20020619,81.27
20020620,80.18
20020621,78.82
20020624,79.11
20020625,77.78
20020626,77.62
20020627,78.99
20020628,78.91
20020701,77.22
20020702,75.62
20020703,76.09
20020705,78.93
20020708,77.99
20020709,76.08
20020710,73.59
20020711,74.15
20020712,73.69
20020715,73.44
20020716,72.1
20020717,72.5
20020718,70.55
20020719,67.92
20020722,65.73
20020723,63.99
20020724,67.78
20020725,67.39
20020726,68.55
20020729,72.38
20020730,72.69
20020731,73.41
20020801,71.27
20020802,69.66
20020805,67.31
20020806,69.36
20020807,70.78
20020808,73.15
20020809,73.42
20020812,73.04
20020813,71.47
20020814,74.42
20020815,75.29
20020816,75.17
20020819,76.98
20020820,75.91
20020821,76.89
20020822,77.99
20020823,76.24
20020826,76.83
20020827,75.76
20020828,74.41
20020829,74.41
20020830,74.27
20020903,71.24
20020904,72.53
20020905,71.38
20020906,72.59
20020909,73.34
20020910,73.89
20020911,73.89
20020912,72.09
20020913,72.33
20020916,72.44
20020917,71.01
20020918,70.7
20020919,68.59
20020920,68.76
20020923,67.81
20020924,66.65
20020925,68.35
20020926,69.61
20020927,67.4
20020930,66.41
20021001,69.13
20021002,67.53
20021003,66.8
20021004,65.32
20021007,64.09
20021008,65.21
20021009,63.46
20021010,65.73
20021011,68.35
20021014,68.86
20021015,72.2
20021016,70.49
20021017,72.09
20021018,72.52
20021021,73.78
20021022,73.01
20021023,73.5
20021024,72.38
20021025,73.64
20021028,73.04
20021029,72.39
20021030,73.12
20021031,72.72
20021101,73.99
20021104,74.59
20021105,75.17
20021106,75.87
20021107,74.17
20021108,73.53
20021111,72.01
20021112,72.57
20021113,72.56
20021114,74.39
20021115,74.85
20021118,74.08
20021119,73.78
20021120,75.25
20021121,76.89
20021122,76.61
20021125,76.81
20021126,75.24
20021127,77.39
20021129,77.17
20021202,77.03
20021203,75.91
20021204,75.67
20021205,74.76
20021206,75.22
20021209,73.58
20021210,74.62
20021211,74.68
20021212,74.4
20021213,73.41
20021216,75.16
20021217,74.55
20021218,73.58
20021219,73.03
20021220,73.99
20021223,74.12
20021224,73.71
20021226,73.48
20021227,72.34
20021230,72.68
20021231,72.73
20030102,75.18
20030103,75.16
20030106,76.86
20030107,76.36
20030108,75.32
20030109,76.79
20030110,76.78
20030113,76.68
20030114,77.12
20030115,76.02
20030116,75.72
20030117,74.67
20030121,73.51
20030122,72.75
20030123,73.48
20030124,71.37
20030127,70.23
20030128,71.14
20030129,71.64
20030130,70.05
20030131,70.97
20030203,71.36
20030204,70.37
20030205,69.99
20030206,69.55
20030207,68.86
20030210,69.39
20030211,68.83
20030212,68
20030213,67.89
20030214,69.35
20030218,70.72
20030219,70.25
20030220,69.59
20030221,70.51
20030224,69.24
20030225,69.73
20030226,68.85
20030227,69.66
20030228,69.97
20030303,69.45
20030304,68.39
20030305,69.07
20030306,68.45
20030307,69.02
20030310,67.26
20030311,66.71
20030312,67.03
20030313,69.38
20030314,69.48
20030317,72
20030318,72.31
20030319,72.95
20030320,73.1
20030321,74.8
20030324,72.22
20030325,73.1
20030326,72.71
20030327,72.6
20030328,72.19
20030331,70.91
20030401,71.78
20030402,73.7
20030403,73.33
20030404,73.53
20030407,73.62
20030408,73.51
20030409,72.49
20030410,72.95
20030411,72.69
20030414,74.12
