gvkey,datadate,fyear,tic,conm,at,lt,revt,cogs,ni,oancf,dltis,dltr,sstk,prstkc,dv
012151,2011-06-30,2011,COTY,COTY INC,6813.9000,5353.9000,4086.1000,1485.9000,61.7000,417.5000,2114.9000,934.9000,778.5000,,35.3000
012151,2012-06-30,2012,COTY,COTY INC,6183.4000,5045.9000,4611.3000,1684.5000,-324.4000,589.3000,2804.5000,2991.0000,127.0000,,0.0000
012151,2013-06-30,2013,COTY,COTY INC,6470.0000,4854.5000,4649.1000,1690.9000,168.0000,463.9000,2398.5000,2207.0000,6.2000,7.5000,57.4000
012151,2014-06-30,2014,COTY,COTY INC,6592.5000,5631.9000,4567.0000,1681.6000,-97.4000,536.5000,1375.0000,695.5000,21.9000,569.3000,76.9000
012151,2015-06-30,2015,COTY,COTY INC,6018.9000,4947.9000,4390.4000,1667.3000,232.5000,526.3000,1653.9000,2400.6000,61.0000,305.1000,71.0000
012151,2016-06-30,2016,COTY,COTY INC,7100.2000,6659.8000,4349.1000,1638.3000,156.9000,501.4000,5446.2000,3929.4000,44.7000,794.9000,89.0000
012151,2017-06-30,2017,COTY,COTY INC,22548.2000,12679.4000,7650.3000,2705.3000,-422.2000,757.5000,3319.4000,2210.5000,22.8000,36.3000,372.6000
012151,2018-06-30,2018,COTY,COTY INC,22630.2000,13113.7000,9398.0000,3161.2000,-168.8000,413.7000,10652.7000,10135.8000,22.6000,,375.8000
012151,2019-06-30,2019,COTY,COTY INC,17665.4000,12620.2000,8648.5000,2914.6000,-3784.2000,639.6000,2183.3000,1918.9000,5.9000,0.0000,346.2000
012151,2020-06-30,2020,COTY,COTY INC,16728.8000,12705.1000,4717.8000,1625.0000,-1006.7000,-50.9000,4681.3000,4230.8000,727.2000,4.5000,196.9000
012151,2021-06-30,2021,COTY,COTY INC,13691.4000,9508.8000,4629.9000,1519.3000,-201.3000,318.7000,4508.6000,7487.8000,227.2000,0.0000,25.7000
012151,2022-06-30,2022,COTY,COTY INC,12116.1000,8558.1000,5304.4000,1614.2000,259.5000,726.6000,1485.4000,2207.1000,0.0000,0.0000,57.2000
012151,2023-06-30,2023,COTY,COTY INC,12661.6000,8428.3000,5554.1000,1771.0000,508.2000,625.7000,,268.2000,0.9000,0.0000,13.7000
012151,2024-06-30,2024,COTY,COTY INC,12082.5000,7834.8000,6118.0000,1951.1000,89.4000,614.6000,4282.7000,4610.2000,355.9000,0.0000,13.4000
012151,2025-06-30,2025,COTY,COTY INC,11907.7000,7952.1000,5892.9000,1837.6000,-367.9000,492.6000,2492.5000,2613.2000,0.0000,0.0000,13.3000
027907,2014-12-31,2014,ELF,E.L.F. BEAUTY INC,354.1780,222.6560,144.9440,70.7370,-8.1930,-7.5070,160.2500,7.5690,105.1410,0.0000,0.0000
027907,2015-12-31,2015,ELF,E.L.F. BEAUTY INC,361.0720,224.1750,191.4130,80.7950,4.3570,24.5190,27.1500,31.7250,0.0250,0.0000,0.0000
027907,2016-12-31,2016,ELF,E.L.F. BEAUTY INC,414.7290,273.8670,229.5670,84.1800,5.3130,2.1200,178.2490,164.7400,64.0710,0.0000,68.0000
027907,2017-12-31,2017,ELF,E.L.F. BEAUTY INC,417.2440,223.3810,269.8880,90.6420,33.4750,12.3780,25.9000,34.1500,1.9780,0.0000,0.0000
