gvkey,datadate,fyearq,fqtr,tic,conm,atq,ltq,revtq,cogsq,niq,epspxq,epspiq,oancfy,rdq
012151,2010-09-30,2011,1,COTY,COTY INC,,,,,,,,,
012151,2010-12-31,2011,2,COTY,COTY INC,,,,,,,,,
012151,2011-03-31,2011,3,COTY,COTY INC,,,,,,,,,
012151,2011-06-30,2011,4,COTY,COTY INC,6813.9000,5353.9000,4086.1000,1485.9000,61.7000,0.1600,0.1600,417.5000,2012-06-29
012151,2011-09-30,2012,1,COTY,COTY INC,,,1244.8000,,105.9000,0.2800,0.2800,,
012151,2011-12-31,2012,2,COTY,COTY INC,,,1337.9000,,92.4000,0.2400,0.2400,,
012151,2012-03-31,2012,3,COTY,COTY INC,,,1005.2000,,-165.4000,-0.4300,-0.4300,,
012151,2012-06-30,2012,4,COTY,COTY INC,6183.4000,5045.9000,1023.4000,1684.5000,-357.3000,-0.9300,-0.9300,589.3000,2013-06-13
012151,2012-09-30,2013,1,COTY,COTY INC,,,1213.1000,436.9000,86.7000,0.2300,0.2300,,
012151,2012-12-31,2013,2,COTY,COTY INC,,,1379.5000,521.6000,123.2000,0.3200,0.3200,,
012151,2013-03-31,2013,3,COTY,COTY INC,6328.0000,4892.5000,997.7000,338.9000,20.4000,0.0500,0.0500,362.5000,2013-06-13
012151,2013-06-30,2013,4,COTY,COTY INC,6470.0000,4854.5000,1058.8000,393.5000,-62.3000,-0.1600,-0.1600,463.9000,2013-09-17
012151,2013-09-30,2014,1,COTY,COTY INC,6729.2000,5038.3000,1178.2000,429.8000,93.5000,0.2400,0.2400,101.2000,2013-11-07
012151,2013-12-31,2014,2,COTY,COTY INC,6869.0000,5063.8000,1323.2000,508.0000,82.5000,0.2100,0.2100,447.3000,2014-02-14
012151,2014-03-31,2014,3,COTY,COTY INC,6508.0000,5004.7000,1008.7000,346.8000,-253.3000,-0.6600,-0.6600,443.1000,2014-05-14
012151,2014-06-30,2014,4,COTY,COTY INC,6592.5000,5631.9000,1056.9000,397.0000,-20.1000,-0.0500,-0.0500,536.5000,2014-08-28
012151,2014-09-30,2015,1,COTY,COTY INC,6426.7000,5641.0000,1182.3000,437.6000,10.6000,0.0300,0.0300,26.2000,2014-11-06
