ibes_ticker,cusip,oftic,cname,period_end,pdicity,measure,actual_eps,announce_date
COTY,22207020,COTY,COTY INC,2013-09-30,QTR,EPS,0.28,2013-11-07
COTY,22207020,COTY,COTY INC,2013-12-31,QTR,EPS,0.28,2014-02-14
COTY,22207020,COTY,COTY INC,2014-03-31,QTR,EPS,0.12,2014-05-14
COTY,22207020,COTY,COTY INC,2014-06-30,QTR,EPS,0.03,2014-08-28
COTY,22207020,COTY,COTY INC,2014-09-30,QTR,EPS,0.28,2014-11-06
COTY,22207020,COTY,COTY INC,2014-12-31,QTR,EPS,0.45,2015-02-05
COTY,22207020,COTY,COTY INC,2015-03-31,QTR,EPS,0.18,2015-05-07
COTY,22207020,COTY,COTY INC,2015-06-30,QTR,EPS,0.08,2015-08-13
COTY,22207020,COTY,COTY INC,2015-09-30,QTR,EPS,0.59,2015-11-05
COTY,22207020,COTY,COTY INC,2015-12-31,QTR,EPS,0.38,2016-02-04
COTY,22207020,COTY,COTY INC,2016-03-31,QTR,EPS,0.09,2016-05-03
COTY,22207020,COTY,COTY INC,2016-06-30,QTR,EPS,0.13,2016-08-16
COTY,22207020,COTY,COTY INC,2016-09-30,QTR,EPS,0.23,2016-11-09
COTY,22207020,COTY,COTY INC,2016-12-31,QTR,EPS,0.3,2017-02-09
COTY,22207020,COTY,COTY INC,2017-03-31,QTR,EPS,0.15,2017-05-10
COTY,22207020,COTY,COTY INC,2017-06-30,QTR,EPS,0.0,2017-08-22
COTY,22207020,COTY,COTY INC,2017-09-30,QTR,EPS,0.1,2017-11-09
COTY,22207020,COTY,COTY INC,2017-12-31,QTR,EPS,0.32,2018-02-08
COTY,22207020,COTY,COTY INC,2018-03-31,QTR,EPS,0.13,2018-05-09
COTY,22207020,COTY,COTY INC,2018-06-30,QTR,EPS,0.14,2018-08-21
COTY,22207020,COTY,COTY INC,2018-09-30,QTR,EPS,0.11,2018-11-07
COTY,22207020,COTY,COTY INC,2018-12-31,QTR,EPS,0.24,2019-02-08
COTY,22207020,COTY,COTY INC,2019-03-31,QTR,EPS,0.13,2019-05-08
COTY,22207020,COTY,COTY,2019-06-30,QTR,EPS,0.16,2019-08-28
COTY,22207020,COTY,COTY,2019-09-30,QTR,EPS,0.07,2019-11-06
COTY,22207020,COTY,COTY,2019-12-31,QTR,EPS,0.27,2020-02-05
COTY,22207020,COTY,COTY,2020-03-31,QTR,EPS,-0.08,2020-05-11
COTY,22207020,COTY,COTY,2020-06-30,QTR,EPS,-0.51,2020-08-27
COTY,22207020,COTY,COTY,2020-09-30,QTR,EPS,0.11,2020-11-06
COTY,22207020,COTY,COTY,2020-12-31,QTR,EPS,0.12,2021-02-09
COTY,22207020,COTY,COTY,2021-03-31,QTR,EPS,0.0,2021-05-10
COTY,22207020,COTY,COTY,2021-06-30,QTR,EPS,-0.09,2021-08-26
COTY,22207020,COTY,COTY,2021-09-30,QTR,EPS,0.08,2021-11-08
COTY,22207020,COTY,COTY,2021-12-31,QTR,EPS,0.17,2022-02-08
COTY,22207020,COTY,COTY,2022-03-31,QTR,EPS,0.03,2022-05-09
COTY,22207020,COTY,COTY,2022-06-30,QTR,EPS,-0.01,2022-08-25
COTY,22207020,COTY,COTY,2022-09-30,QTR,EPS,0.15,2022-11-08
COTY,22207020,COTY,COTY,2022-12-31,QTR,EPS,0.22,2023-02-08
COTY,22207020,COTY,COTY,2023-03-31,QTR,EPS,0.19,2023-05-09
COTY,22207020,COTY,COTY,2023-06-30,QTR,EPS,0.01,2023-08-22
COTY,22207020,COTY,COTY,2023-09-30,QTR,EPS,0.12,2023-11-07
COTY,22207020,COTY,COTY,2023-12-31,QTR,EPS,0.25,2024-02-07
COTY,22207020,COTY,COTY,2024-03-31,QTR,EPS,0.05,2024-05-06
COTY,22207020,COTY,COTY,2024-06-30,QTR,EPS,-0.03,2024-08-20
COTY,22207020,COTY,COTY,2024-09-30,QTR,EPS,0.15,2024-11-06
COTY,22207020,COTY,COTY,2024-12-31,QTR,EPS,0.11,2025-02-10
COTY,22207020,COTY,COTY,2025-03-31,QTR,EPS,0.01,2025-05-06
COTY,22207020,COTY,COTY,2025-06-30,QTR,EPS,-0.05,2025-08-20
COTY,22207020,COTY,COTY,2025-09-30,QTR,EPS,0.12,2025-11-05
COTY,22207020,COTY,COTY,2025-12-31,QTR,EPS,0.14,2026-02-05
EL,51843910,EL,ESTEE LAUDER COS,1995-12-31,QTR,EPS,0.48,1996-01-30
EL,51843910,EL,ESTEE LAUDER COS,1996-03-31,QTR,EPS,0.19,1996-04-30
EL,51843910,EL,ESTEE LAUDER COS,1996-06-30,QTR,EPS,0.18,1996-08-13
EL,51843910,EL,ESTEE LAUDER COS,1996-09-30,QTR,EPS,0.39,1996-10-29
EL,51843910,EL,ESTEE LAUDER COS,1996-12-31,QTR,EPS,0.54,1997-01-28
EL,51843910,EL,ESTEE LAUDER COS,1997-03-31,QTR,EPS,0.27,1997-04-29
EL,51843910,EL,ESTEE LAUDER COS,1997-06-30,QTR,EPS,0.26,1997-08-12
EL,51843910,EL,ESTEE LAUDER COS,1997-09-30,QTR,EPS,0.47,1997-10-28
