ARRIVAL_DELAY,DISTANCE,SCHEDULED_TIME,MONTH,SCHED_DEP_HOUR,SCHED_ARR_HOUR,FLIGHT_COUNT,DAY_OF_WEEK,ORIGIN_AIRPORT,DESTINATION_AIRPORT
23,2586,342,9,7,15,240,3,SFO,JFK
10,1235,185,5,6,11,366,4,LAX,DFW
-7,184,76,4,17,18,172,7,BOS,LGA
68,862,148,7,19,21,260,7,IAH,DEN
24,236,71,3,20,21,266,2,LAS,LAX
6,449,97,4,13,14,179,5,CLT,PHL
19,717,110,10,21,0,11,1,13232,10257
8,1199,173,10,9,13,26,6,11292,10397
-17,1670,240,8,11,12,36,4,CMH,PHX
36,731,155,9,9,10,581,6,ATL,DFW
26,337,84,5,20,21,366,3,LAX,SFO
-1,1127,178,7,14,17,181,2,DTW,FLL
16,1788,277,4,17,19,124,1,TPA,PHX
59,1464,243,2,18,20,438,2,DFW,SFO
19,726,125,7,19,22,164,1,MSP,PIT
-16,402,81,10,17,19,1,1,12156,14869
36,1183,218,1,18,21,229,6,LGA,MSY
10,391,81,8,17,19,378,4,DEN,SLC
-14,1694,225,6,11,16,182,3,SEA,MKE
-20,561,114,11,11,13,438,1,DFW,GRI
-9,83,43,4,16,16,581,2,ATL,CSG
-10,587,95,4,7,9,120,7,DAL,BHM
85,1084,166,11,20,22,181,7,DTW,RSW
-8,408,92,6,18,18,15,2,GRR,MSP
70,1747,255,9,20,21,581,7,ATL,LAS
-8,347,80,9,9,9,21,5,ELP,PHX
70,1121,194,10,14,16,8,5,13303,11298
20,293,65,2,18,19,120,6,DAL,LBB
-6,744,141,3,9,10,260,1,IAH,ABQ
5,628,110,3,18,20,266,5,LAS,DEN
-15,258,70,4,12,13,120,4,SAN,LAS
22,237,76,1,21,21,181,6,DTW,MKE
76,937,175,12,19,22,217,1,EWR,MCO
15,337,85,5,17,19,90,4,OAK,LAX
-20,781,142,2,18,20,33,3,OMA,IAH
-13,697,120,5,18,20,182,1,SEA,SJC
13,1749,230,9,9,16,266,1,LAS,DTW
-8,157,64,6,12,14,578,1,ORD,FWA
62,1068,177,3,14,15,124,6,MIA,STL
40,1598,228,6,23,3,180,1,JFK,SJU
148,678,141,6,20,21,127,1,PHL,ORD
54,746,162,12,16,19,217,4,EWR,ATL
66,977,162,11,13,16,69,1,AUS,ORD
60,2615,325,5,20,5,13,4,LIH,LAX
82,677,125,5,18,19,28,1,ABQ,LAX
5,214,60,9,23,0,581,7,ATL,SAV
-4,1237,180,11,20,23,118,2,FLL,BOS
-7,645,110,8,9,11,581,7,ATL,FNT
-14,272,65,10,7,8,5,6,15016,10693
76,695,129,9,13,15,164,4,MSP,BNA
27,936,136,3,13,16,438,4,DFW,CLT
-19,1379,197,6,0,6,366,3,LAX,IAH
-19,966,168,5,11,13,118,7,FLL,IAH
-4,331,89,2,9,11,7,2,FAY,ATL
-20,967,156,9,10,14,240,2,SFO,DEN
2,1107,184,6,18,21,196,7,PHX,SEA
-5,262,70,9,7,8,240,3,SFO,SBA
-18,594,115,9,18,21,578,7,ORD,MDT
47,646,136,6,18,19,48,2,RDU,ORD
-10,406,86,10,5,6,4,3,15304,10397
-17,945,145,5,7,9,37,4,IND,RSW
1,489,111,1,6,8,9,5,PNS,IAH
26,944,182,3,19,22,180,4,JFK,MCO
-2,869,135,5,14,17,86,5,STL,TPA
7,328,81,1,17,19,33,1,JAX,CLT
16,630,105,1,17,19,438,4,DFW,SPI
20,349,85,1,13,15,184,5,MDW,MSP
-11,1399,210,5,11,12,164,7,MSP,SEA
0,969,165,5,15,17,118,2,DCA,MSY
36,986,164,5,19,21,181,5,DTW,DFW
13,,395,11,6,9,,1,BOS,SFO
135,1124,162,3,15,19,164,7,MSP,BOS
15,293,64,3,9,10,438,6,DFW,MLU
-13,895,140,8,5,9,378,4,DEN,MDW
-13,547,115,6,14,16,118,5,DCA,ATL
19,585,117,7,7,9,24,4,TUL,ORD
-11,954,158,12,20,23,182,2,SEA,LAX
-11,507,106,3,9,11,179,2,CLT,TPA
-2,1533,224,9,13,16,182,6,SEA,FAI
-9,590,106,4,10,13,366,2,LAX,SLC
35,369,85,4,18,19,185,3,BWI,BOS
23,1069,161,12,19,22,118,4,FLL,JFK
-15,930,156,1,5,8,164,6,MSP,CLT
17,985,142,1,9,12,438,6,DFW,MCO
46,236,65,1,21,22,266,3,LAS,LAX
30,607,98,1,13,16,578,4,ORD,SYR
48,946,152,9,7,10,581,4,ATL,BOS
95,1065,186,8,14,17,217,1,EWR,FLL
-3,458,94,11,13,15,8,3,LBB,IAH
-11,106,52,10,15,16,47,1,10397,10980
0,697,122,2,18,20,67,4,SJC,SEA
44,334,88,9,6,8,164,3,MSP,ORD
60,289,70,10,14,15,8,7,10821,10257
21,591,118,2,20,21,581,1,ATL,MDW
-14,972,153,6,20,23,22,2,HPN,MCO
33,2677,367,5,17,20,182,4,SEA,HNL
41,1303,229,1,14,16,127,1,PHL,DFW
1,820,150,9,15,18,217,7,EWR,JAX
-16,983,155,4,10,13,181,6,DTW,TPA
11,331,80,5,13,14,4,7,LNK,MSP
-9,351,85,9,16,18,22,2,JAN,IAH
53,190,68,7,10,11,11,2,SHV,DFW
-12,501,98,3,12,14,1,3,HOB,IAH
43,563,123,8,20,22,172,2,BOS,CLE
91,482,104,6,17,19,7,5,BRO,DFW
26,611,120,4,17,18,185,4,BWI,MDW
-21,606,117,8,10,12,578,6,ORD,ATL
-19,1325,197,4,14,19,260,6,IAH,PHL
24,1487,228,1,21,0,118,2,FLL,MSP
14,621,110,9,13,14,196,4,PHX,SJC
-23,744,129,8,8,11,28,3,ABQ,IAH
-10,1190,179,1,7,11,260,7,IAH,IAD
14,794,155,1,11,14,13,1,SYR,ATL
-3,258,65,11,15,16,266,5,LAS,SAN
10,787,137,7,10,14,260,7,IAH,TPA
15,1739,234,11,6,12,67,1,PDX,ORD
-16,679,120,5,7,9,240,5,SFO,SEA
74,315,80,6,14,15,578,1,ORD,COU
16,774,132,6,19,20,581,4,ATL,GRB
91,391,85,12,18,19,121,2,SLC,DEN
18,386,86,7,21,23,164,4,MSP,BIS
87,164,56,12,16,17,438,6,DFW,CLL
9,1024,154,10,13,16,17,6,14747,11292
-3,1050,156,7,20,23,120,3,SAN,SEA
67,184,74,10,14,15,13,2,12953,10721
-19,983,164,8,11,14,124,3,TPA,DTW
-14,1276,203,1,14,16,164,4,MSP,PHX
13,903,140,3,16,18,60,2,MSY,MKE
-1,321,80,4,10,11,581,5,ATL,SDF
