Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
Human papillomaviruses prevalence and genital co-infections in HIV-seropositive women in Ouagadougou (Burkina Faso),Sagna T.; Djigma F.; Zeba M.; Bisseye C.; Karou S.D.; Ouermi D.; Pietra V.; Gnoula C.; Sanogo K.; Nikiema J.B.; Simpore J.,"The vaginal swabs among HIV-positive women in Africa often revealed opportunistic infections such as human Papillomavirus (HPV) and Mycoplasma that induce respectively cervix cancer and diseases such as vaginosis, abortions, infertility in through salpingitis. The purposes of this study were to: (1) seek for, the prevalence of pathogens such as HPV and Mycoplasma; (2) characterize the strains of HPV and estimate their prevalence; (3) identify among these women, those who were co-infected by these pathogens in order to cure them. From February 2009 to January 2010, 156 HIV-positive women attending our medical centers and aged from 19-45 years (mean age 33.65±5.75 years) had voluntarily accepted vaginal specimen's tests. PCR, ELISA and molecular hybridization were used for the identification and characterization of these pathogens. The results revealed the presence of Mycoplasma and HPV in 25.64 and 58.33% cases, respectively. The following HPV genotypes and the following prevalence were recorded: HPV-50′S (24.11%), HPV-18 (21.28%), HPV-30'S (18.44%) andHPV-16 (5.67%). The study also enable the identification of co-infections such as HPV-18 strains with HPV-30'S (5.67%) and HPV-30'S with HPV-50'S (3.55%). Other germs infecting the female genital tract including Candida albicans (20.51%), Escherichia co/z (12.18%), Treponema pallidum (3.85%), Streptococcus agalactiae (3.21 %) and Staphylococcus aureus (1.92%) were isolated. This preliminary research work showed the incidence of several genital pathogens, this could be a springboard for nationwide epidemiological study on HPV strains circulating in Burkina Faso. © 2010 Asian Network for Scientific Information.",2010,,Pakistan Journal of Biological Sciences,13,19,951-955,,10.3923/pjbs.2010.951.955,,#3109,Sagna 2010,Exclusion reason: 8. STI data inappropriate or missing; ,""
"Vulnerability and risk factors for sexually transmitted infections and HIV among adolescents in Kampala, Uganda.",Råssjö EB.; Mirembe FM.; Darj E.,"Three hundred and six sexually experienced adolescents participated in a study on sexually transmitted infection (STI) prevalence and associated risk factors. The prevalence of Neisseria gonorrhoea (NG), Chlamydia trachomatis (CT), Trichomonas vaginalis (TV) and syphilis was 4.5%, 9%, 8% and 4% for females and 4.7%, 5.7%, 0% and 2.8% for males. HIV-seropositivity was found in 15.2% of females and 5.8% of males. Structured face-to-face interviews were used to obtain information about social background, sexual experience and genital symptoms. Four focus-group discussions were used in order to validate the interview data. Females were more likely to be infected by the four treatable STIs and HIV, despite risky behavior being more common among males. Unemployment, little formal education, the presence of bacterial STIs and post-coital bleeding or a bad smell from the vagina was highly associated with the risk for HIV in females. The higher prevalence of STIs, including HIV, among adolescent girls cannot be explained by sexual behavior only, as boys reported more risk behavior and were still less affected by STIs. Biological and social factors are definitely of importance.",2006,Oct,AIDS care,18,7,710-6,,10.1080/09540120500302934,16971279,#1681,Råssjö 2006,Exclusion reason: 8. STI data inappropriate or missing; ,""
Prevalence and Detection of Trichomonas vaginalis in HIV-Infected Pregnant Women.,Price CM.; Peters RPH.; Steyn J.; Mudau M.; Olivier D.; De Vos L.; Morikawa E.; Kock MM.; Medina-Marino A.; Klausner JD.,"Trichomonas vaginalis is a sexually transmitted infection associated with increased transmission of HIV and significant adverse birth outcomes; culture and polymerase chain reaction (PCR) are commonly used in diagnosis. Consenting HIV-infected pregnant women were recruited from clinics in South Africa and screened for T. vaginalis using PCR. Polymerase chain reaction-positive women provided an additional sample for culture. We compared T. vaginalis detection between PCR and culture, and investigated how PCR cycle threshold (Ct) values differ among culture results. A total of 359 women were enrolled and 76 (20%) tested T. vaginalis PCR positive. Cultures were obtained from 61 of the PCR-positive women, and 38 (62%) were culture positive. The median baseline Ct of the PCR-positive/culture-positive group was 22.6 versus 38.0 among those who were PCR positive/culture negative (P < 0.001). Culture-positive cases had lower Ct values (higher DNA load); a Ct value less than 30 predicted positivity with a sensitivity of 97% and a specificity of 96%. Culture was positive in roughly half of PCR-positive cases. The culture-negative cases had significantly higher Ct values, indicating a lower concentration of T. vaginalis DNA. A Ct value of 30 provides a reliable threshold for predicting culture positivity. The clinical significance of culture-negative infections detected by PCR is still unclear.",2018,05,Sexually transmitted diseases,45,5,332-336,,10.1097/OLQ.0000000000000756,29465686,#1683,Price 2018,Exclusion reason: 2. Data overlap with other study; ,""
"Twelve-Month Antiretroviral Therapy Suppresses Plasma and Genital Viral Loads but Fails to Alter Genital Levels of Cytokines, in a Cohort of HIV-Infected Rwandan Women.",Ondoa P.; Gautam R.; Rusine J.; Lutter R.; Jurriaans S.; Kootstra N.; Karita E.; van de Wijgert J.,"Genital viral load (GVL) is the main determinant of sexual transmission of human immune-deficiency virus (HIV). The effect of antiretroviral therapy (ART) on local cervico-vaginal immunological factors associated with GVL is poorly described. We aimed to identify the risk factors of detectable GVL, and the impact of ART on HIV genital shedding and its correlates in a cohort of HIV-infected women, attending HIV care in Kigali, Rwanda. All participants were evaluated for GVL, plasma viral load (PVL), CD4 count, various sexually-transmitted infections (STIs) at baseline and at month 12. Genital concentration of 19 cytokines and mRNA expression of APOBEC3G and BST2, two host HIV restriction factors, were evaluated at baseline in all participants. Cytokine levels were re-assessed at month 12 only in participants eligible for ART at baseline. Risk factors of GVL ≥ 40 copies/mL at baseline and month 12 were assessed using logistic regression. Effect of 12-month ART on various local and systemic immunological parameters was examined using a paired t-test and McNemar as appropriate. 96 of the 247 women enrolled in the study were eligible for ART. After 12 months of ART, PVL and GVL decreased to undetectable level in respectively 74 and 88% of treated participants. ART did not affect cytokine levels. HIV genital shedding occurred only when PVL was detectable. At baseline, GVL was independently associated with IL-1β after controlling for PVL, age and N. gonorrhea infection (95% CI 1.32-2.15) and at month 12 with MIP-1β (95% CI 0.96-21.32) after controlling for baseline GVL, PVL and month 12 IL-8. Suppressive ART does not necessarily reduce genital level of immune activation. Minimizing all conditions favoring genital inflammation, including active detection and treatment of STIs, might reduce the risk of HIV transmission as supplement to the provision of potent ART.",2015,,PloS one,10,5,e0127201,,10.1371/journal.pone.0127201,26010956,#1896,Ondoa 2015,Exclusion reason: 2. Data overlap with other study; ,""
Sexual risk behaviour in a cohort of HIV-negative and HIV-positive Rwandan women,Mukanyangezi M.F.; Manzi O.; Tobin G.; Rulisa S.; Bienvenu E.; Giglio D.,"Here we wanted to assess whether sexual risk behaviour differs dependent by human immunodeficiency virus (HIV) status by following 100 HIV-A nd 137 HIV+ women recruited at two university teaching hospitals in Rwanda. Women were tested for sexually transmitted infections (STIs; trichomoniasis, syphilis, hepatitis B and C) and for reproductive tract infections (RTIs; candidiasis, bacterial vaginosis (BV)) and were interviewed at baseline and 9 months later. BV was the most prevalent infection, while syphilis was the most common STI with a 9-month incidence of 10.9% in HIV+ women. Only 24.5% of women positive for any RTI/STI contacted their health facility and got treatment. More HIV-women than HIV+ women had had more than one sexual partner and never used condoms during the follow-up period. The use of condoms was affected neither by marital status nor by concomitant STIs besides HIV. Our data highlight the importance of public education regarding condom use to protect against STIs in an era when HIV no longer is a death sentence.",2019,,Epidemiology and Infection,147,"(Giglio D., daniel.giglio@pharm.gu.se) Department of Oncology, University of Gothenburg, Gothenburg, Sweden",,,10.1017/S0950268818003023,,#4796,Mukanyangezi 2019,Exclusion reason: 2. Data overlap with other study; ,""
High prevalence of asymptomatic sexually transmitted infections among human immunodeficiency virus-infected pregnant women in a low-income South African community.,Mudau M.; Peters RP.; De Vos L.; Olivier DH.; J Davey D.; Mkwanazi ES.; McIntyre JA.; Klausner JD.; Medina-Marino A.,"There is a lack of evidence on the burden of Chlamydia trachomatis (CT), Neisseria gonorrhoeae (NG) and Trichomonas vaginalis (TV) among HIV-infected pregnant women in South Africa. We conducted a cross-sectional analysis of HIV-infected pregnant women in two healthcare facilities in a South African township to determine the prevalence of CT, NG and TV. HIV-infected pregnant women were recruited during the first antenatal care visit for their current pregnancy and requested to self-collect vulvovaginal swab specimens. Specimens were tested for CT, NG and TV using the Xpert® assay (Cepheid, Sunnyvale, CA). Of 247 tested for CT, NG and TV, 47.8% tested positive for at least one organism; CT = 36.8%, TV = 23.9%, NG = 6.9%. Forty three (17.4%) had multiple infections, of which 42 included CT as one of the infecting organisms. Of the 118 participants who tested positive for at least one sexually transmitted infection (STI), 23.7% reported STI-like symptoms. Among women who tested positive for CT, 29.7% reported symptoms while 47.1 and 27.1% of those who tested positive for NG and TV, respectively, reported symptoms. The high STI prevalence coupled with the low symptom prevalence among infected individuals justifies the use of diagnostic screening approaches rather than syndromic management of STIs in this setting.",2018,03,International journal of STD & AIDS,29,4,324-333,,10.1177/0956462417724908,28799824,#1996,Mudau 2018,Exclusion reason: 2. Data overlap with other study; ,""
"Reproductive tract infections and the risk of HIV among women in Moshi, Tanzania.",Msuya SE.; Mbizvo E.; Stray-Pedersen B.; Sundby J.; Sam NE.; Hussain A.,"The objectives of the study were to determine the prevalence of HIV and reproductive tract infections (RTIs); to compare the occurrence of RTIs among HIV-infected and non-infected women; and to assess the association of HIV with RTIs and behavioral factors among women aged 15-49 years. A cross-sectional study was conducted in late 1999 among 382 consenting women attending three primary healthcare clinics. They were interviewed and screened for HIV-1 and RTIs. The prevalence of HIV-1 was 11.5%. Sixty-four percent of the women had one ongoing treatable RTI. Endogenous and sexually transmitted RTIs were higher in HIV-positive than negative women and 84% of the HIV seropositive women were co-infected with one treatable RTI. HIV was significantly associated with cervicitis (chlamydial or gonococcal) [OR = 3.2 (CI 1.1-13.2)], HSV-2 [OR = 2.6 (CI 1.3-5.1)], bacterial vaginosis [OR = 1.9 (CI 1.1-4.1)], genital warts [OR = 4.8 (CI 1.1-22.2)], and presence of vaginal discharge [OR = 2.7 (CI 1.3-5.2)]. Having more than one lifetime sexual partner, a history of infant mortality or a partner who had other wives or resided away from home > 6 months, were risk factors for HIV infection. HIV-1 and RTIs are a major public health problem among women in this population. Integration of routine screening and treatment of RTIs in the reproductive health clinics will be an important strategy to combat HIV in the area. Further, innovative behavior interventions targeting both men and women, preferably as couples are needed.",2002,Sep,Acta obstetricia et gynecologica Scandinavica,81,9,886-93,,10.1034/j.1600-0412.2002.810916.x,12225308,#1062,Msuya 2002,Exclusion reason: 2. Data overlap with other study; ,""
"HIV among pregnant women in Moshi Tanzania: the role of sexual behavior, male partner characteristics and sexually transmitted infections.",Msuya SE.; Mbizvo E.; Hussain A.; Uriyo J.; Sam NE.; Stray-Pedersen B.,"Women continue to be disproportionately affected by HIV in Tanzania, and factors contributing to this situation need to be identified. The objective of this study was to determine social, behavioral and biological risk factors of HIV infection among pregnant women in Moshi urban, Tanzania. In 2002-2004, consenting women (N = 2654), attending primary health clinics for routine antenatal care were interviewed, examined and biological samples collected for diagnosis of HIV and other sexually transmitted/reproductive tract infections. The prevalence of HIV was 6.9%. The risk for HIV was greater among women whose male partner; had other sexual partners (adjusted odds ratio [AOR], 15.11; 95% confidence interval [CI], 8.39-27.20), traveled frequently (AOR, 1.79; 95% CI, 1.22-2.65) or consumed alcohol daily (AOR, 1.68; 95% CI, 1.06-2.67). Other independent predictors of HIV were age, number of sex partners, recent migration, and presence of bacterial vaginosis, genital ulcer, active syphilis and herpes simplex virus type 2. Development of programs that actively involve men in HIV prevention is important in reducing transmission of HIV in this population. Further, interventions that focus on STI control, the mobile population, sexual risk behavior and responsible alcohol use are required.",2006,Oct,AIDS research and therapy,3,,27,,10.1186/1742-6405-3-27,17044932,#480,Msuya 2006,Exclusion reason: 2. Data overlap with other study; ,""
"Interrelationships among human immunodeficiency virus type 1 infection, bacterial vaginosis, Trichomoniasis, and the presence of yeasts",Moodley P.; Connolly C.; Sturm A.W.,"Vaginal discharge of mixed etiology occurs frequently, with abnormal vaginal flora being the most common condition. The interrelationships among the disturbance of the vaginal ecology, the presence of yeasts, and infection with Trichomonas vaginalis and human immunodeficiency virus type 1 (HIV-1) were investigated among women presenting to a sexually transmitted diseases service. Analysis was done for 598 women. Although the prevalence of HIV-1 infection increased linearly with increasing Nugent's score (bacterial vaginosis score of Gram stain), the prevalence of T. vaginalis increased suddenly, from 12% in patients with a Nugent's score of ≤3 to 33% in patients with a score of 4, and remained at this level at higher scores. Yeast colonization and vulvovaginal candidiasis were inversely related to Nugent's scores. T. vaginalis might be responsible for the change in normal vaginal flora and may, therefore, be one of the causes of bacterial vaginosis. This could lead to more effective HIV-1 acquisition.",2002,,Journal of Infectious Diseases,185,1,69-73,,10.1086/338027,,#2145,Moodley 2002,Exclusion reason: 2. Data overlap with other study; ,""
"HIV seroprevalence and its associations with the other reproductive tract infections in asymptomatic women in Harare, Zimbabwe.",Mbizvo EM.; Msuya SE.; Stray-Pedersen B.; Sundby J.; Chirenje MZ.; Hussain A.,"The objective was to determine the magnitude of HIV as well as the associations between HIV seropositivity with reproductive tract infections (RTIs) among healthy women in Harare, Zimbabwe. In a cross-sectional study, 393 informed consenting women aged 15--49 years, attending 2 primary healthcare clinics, were interviewed and screened for HIV and RTIs. HIV seroprevalence was 29.3%. Seropositivity was significantly associated with bacterial vaginosis, syphilis, gonorrhoea and/or Chlamydia trachomatis infection, warts and genital ulcers. Risk factors for HIV were absence of lactobacilli in vaginal fluid, vaginal pH >4.5, age >20 years, being unmarried, having had more than one lifetime sexual partner, having used a condom at least once in their lifetime, having experienced an infant mortality, and a partner who was non-monogamous or a frequent traveller. In view of the very high seroprevalence and concomitant RTIs in this population, we recommend promotion of women-controlled prevention methods along with proactive detection and treatment of RTIs.",2001,Aug,International journal of STD & AIDS,12,8,524-31,,10.1258/0956462011923624,11487393,#683,Mbizvo 2001,Exclusion reason: 2. Data overlap with other study; ,""
