Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
Clinical Characteristics of Mycoplasma genitalium and the Usefulness of Syndromic Management Among Women Living With Human Immunodeficiency Virus.,Ong JJ.; Magooa MP.; Chikandiwa A.; Kelly H.; Didelot MN.; Muller EE.; Maseko V.; Segondy M.; Delany-Moretlwe S.; Kularatne R.; Mayaud P.;  .,"We report the clinical symptoms and examination findings of Mycoplasma genitalium (MG) in women living with human immunodeficiency virus in South Africa. If we relied on syndromic management alone to treat MG, only 15 of 46 MG-infected women would have received. appropriate treatment: sensitivity of 32.6% (95% confidence interval, 19.5-48.0) and specificity of 67.4% (95% confidence interval, 63.4-71.2).",2019,Dec,Sexually transmitted diseases,46,12,801-804,,10.1097/OLQ.0000000000001054,31764768,#186,Ong 2019,"",""
"Cervical squamous intraepithelial lesions and associated cervical infections in an HIV-positive population in Rural Mpumalanga, South Africa.",Swanepoel PJ.; Michelow P.; Du Plessis R.; Proudfoot IG.; Tarr GA.; Bockel SL.; Swanepoel CJ.,"The incidences of genital human papillomavirus (HPV) infection, associated squamous intraepithelial lesions and cervical squamous cell carcinoma are significantly increased in HIV-positive women. The role of other cervicovaginal infections in the acquisition of the HPV infection, cervical carcinogenesis and genital HIV infection remains largely speculative. A retrospective study was conducted including 1087 HIV-positive women in rural Mpumalanga province, South Africa, for the period 1 May 2009 to 31 August 2010. For each patient, the age at first presentation, cervical cytological diagnosis, subsequent follow-up cytology and histology, and microscopically visible infections (including endemic Bilharzia) were tabulated and statistically analysed. The prevalence of low-grade squamous intraepithelial lesion (LSIL), high-grade squamous intraepithelial lesion (HSIL), squamous cell carcinoma, atypical squamous cells of undetermined significance (ASC-US) and atypical squamous cells, cannot exclude HSIL (ASC-H) in the study population were 22.1%, 30.9%, 0.6%, 13.5% and 4.0%, respectively. LSIL, HSIL and squamous cell carcinoma were diagnosed, respectively, at the average ages of 35.7, 37.9 and 37.2 years. Four patients with cervical intraepithelial neoplasia grade 1 (CIN1), 32 with CIN2/CIN3 and two with cervical squamous cell carcinoma were also diagnosed with Bilharzia. Of the other infections only bacterial vaginosis had a positive statistical correlation with HPV-induced cervical abnormalities (LSIL, HSIL or squamous cell carcinoma). This study confirms the high prevalence of progressive HPV-associated cervical disease in a rural Southern African HIV-positive population, which is at least equal to or worse than in other African HIV-positive studies. The high incidence of Bilharzia infection in those cases that underwent cervical cone excision suggests a possible relationship with progressive HPV disease and cervical carcinogenesis. Bacterial vaginosis (perhaps in combination with Bilharzia) may compromise the normal barriers against HPV and HIV infection.",2013,Aug,Cytopathology : official journal of the British Society for Clinical Cytology,24,4,264-71,,10.1111/j.1365-2303.2012.00998.x,22817687,#1305,Swanepoel 2013,"",""
"A cross-sectional study on the relationship of age, gestational age and HIV infection to bacterial vaginosis and genital mycoplasma infection.",Redelinghuys MJ.; Ehlers MM.; Dreyer AW.; Lombaard H.; Olorunju SA.; Kock MM.,"Pregnant women are especially at risk of developing complications when infected with reproductive tract infections (RTIs). The objective of this study was to determine the prevalence of bacterial vaginosis (BV) and genital mycoplasmas in pregnant women and investigate the associations between BV, genital mycoplasmas, HIV infection, age and gestational age. Cross-sectional study with descriptive and analytical components. Antenatal clinic of a tertiary academic hospital in South Africa. 220 pregnant women older than 18 were included in the study and provided self-collected vaginal swabs. BV and genital mycoplasma colonisation and/or infection in women of differing age, gestational period and HIV status. The prevalence of BV was 17.7% (39/220) (95% CI 12.9 to 23.4), intermediate vaginal flora (IVF) 15% (33/220) (95% CI 10.56 to 20.42), and the overall prevalence of genital mycoplasmas was 84% (185/220) (95% CI 78.47 to 88.58). BV was significantly associated with HIV infection with an OR of 2.84 (95% CI 1.08 to 7.46 and p value=0.034). However, BV was inversely associated with gestational age with an OR of 0.08 (95% CI 0.01 to 0.42 and p value=0.003) for second trimester pregnancies and an OR of 0.03 (95% CI 0.01 to 0.17 and p value<0.001) for third trimester pregnancies using the first trimester as reference. IVF was significantly associated with HIV infection with an OR of 2.7 (95% CI 1.07 to 6.79 and p value=0.035) but not with age or gestational age. Genital mycoplasmas were not significantly associated with age, gestational age, HIV status, BV flora or IVF. The high infection rate of genital mycoplasmas and the association of BV with HIV found in this study reiterate the importance of screening for these RTIs in high-risk groups such as pregnant women.",2015,Oct,BMJ open,5,10,e008530,,10.1136/bmjopen-2015-008530,26482771,#706,Redelinghuys 2015,"",""
Prevalence and correlates of bacterial vaginosis in different sub-populations of women in sub-Saharan Africa: a cross-sectional study.,Jespers V.; Crucitti T.; Menten J.; Verhelst R.; Mwaura M.; Mandaliya K.; Ndayisaba GF.; Delany-Moretlwe S.; Verstraelen H.; Hardy L.; Buvé A.; van de Wijgert J.;  .,"Clinical development of vaginally applied products aimed at reducing the transmission of HIV and other sexually transmitted infections, has highlighted the need for a better characterisation of the vaginal environment. We set out to characterise the vaginal environment in women in different settings in sub-Saharan Africa. A longitudinal study was conducted in Kenya, Rwanda and South-Africa. Women were recruited into pre-defined study groups including adult, non-pregnant, HIV-negative women; pregnant women; adolescent girls; HIV-negative women engaging in vaginal practices; female sex workers; and HIV-positive women. Consenting women were interviewed and underwent a pelvic exam. Samples of vaginal fluid and a blood sample were taken and tested for bacterial vaginosis (BV), HIV and other reproductive tract infections (RTIs). This paper presents the cross-sectional analyses of BV Nugent scores and RTI prevalence and correlates at the screening and the enrolment visit. At the screening visit 38% of women had BV defined as a Nugent score of 7-10, and 64% had more than one RTI (N. gonorrhoea, C. trachomatis, T. vaginalis, syphilis) and/or Candida. At screening the likelihood of BV was lower in women using progestin-only contraception and higher in women with more than one RTI. At enrolment, BV scores were significantly associated with the presence of prostate specific antigen (PSA) in the vaginal fluid and with being a self-acknowledged sex worker. Further, sex workers were more likely to have incident BV by Nugent score at enrolment. Our study confirmed some of the correlates of BV that have been previously reported but the most salient finding was the association between BV and the presence of PSA in the vaginal fluid which is suggestive of recent unprotected sexual intercourse.",2014,,PloS one,9,10,e109670,,10.1371/journal.pone.0109670,25289640,#1878,Jespers 2014,"",""
"High prevalence of HIV-1, HIV-2 and other sexually transmitted infections among women attending two sexual health clinics in Bissau, Guinea-Bissau, West Africa.",Månsson F.; Camara C.; Biai A.; Monteiro M.; da Silva ZJ.; Dias F.; Alves A.; Andersson S.; Fenyö EM.; Norrgren H.; Unemo M.,"The objective was to examine the prevalence of HIV-1, HIV-2 and 10 other sexually transmitted infections (STIs), and to explore the relationship between HIV and those STIs in women attending two sexual health clinics in Bissau, Guinea-Bissau. In all, 711 women with urogenital problems were included. Clinical examination was performed and HIV-1, HIV-2, human T-cell lymphotropic virus (HTLV)-1, HTLV-2 and syphilis were diagnosed by serology. Trichomonas vaginalis was examined using wet mount microscopy. Cervical samples (and swabs from visible ulcers, if present) were used for polymerase chain reaction (PCR) diagnosis of Chlamydia trachomatis, Mycoplasma genitalium, Haemophilus ducreyi, herpes simplex virus (HSV)-1 and HSV-2, and culture diagnosis of Neisseria gonorrhoeae. The prevalence of HIV-1, HIV-2, and HIV-1 and HIV-2 (dual infection) was 9.5%, 1.8% and 1.1%, respectively. The prevalence of HTLV-1 was 2.8%, HTLV-2 0%, HSV-1 1.4%, HSV-2 7.7%, T. vaginalis 20.4%, syphilis 1.0%, N. gonorrhoeae 1.3%, H. ducreyi 2.7%, M. genitalium 7.7% and C. trachomatis 12.6%. HIV-1 and/or HIV-2 infection was significantly associated with active HSV-2 and HIV-1 was significantly associated with M. genitalium infection. In conclusion, HIV-1 and HIV-2 prevalence was higher compared with previous studies of pregnant women in Guinea-Bissau. The prevalence of co-infection of HIV and other STIs is high. National evidence-based guidelines for the management of STIs in Guinea-Bissau are essential.",2010,Sep,International journal of STD & AIDS,21,9,631-5,,10.1258/ijsa.2010.009584,21097735,#1493,Månsson 2010,Jana Jarolimova (2020-09-14 03:08:03)(Select): HIV1 and HIV2 in tables; ,""
"Empowering HIV-infected women in low-resource settings: A pilot study evaluating a patient-centered HIV prevention strategy for reproduction in Kisumu, Kenya.",Mmeje O.; Njoroge B.; Wekesa P.; Murage A.; Ondondo RO.; van der Poel S.; Guzé MA.; Shade SB.; Bukusi EA.; Cohan D.; Cohen CR.,"Female positive/male negative HIV-serodiscordant couples express a desire for children and may engage in condomless sex to become pregnant. Current guidelines recommend antiretroviral treatment in HIV-serodiscordant couples, yet HIV RNA viral suppression may not be routinely assessed or guaranteed and pre-exposure prophylaxis may not be readily available. Therefore, options for becoming pregnant while limiting HIV transmission should be offered and accessible to HIV-affected couples desiring children. A prospective pilot study of female positive/male negative HIV-serodiscordant couples desiring children was conducted to evaluate the acceptability, feasibility, and effectiveness of timed vaginal insemination. Eligible women were 18-34 years with regular menses. Prior to timed vaginal insemination, couples were observed for two months, and tested and treated for sexually transmitted infections. Timed vaginal insemination was performed for up to six menstrual cycles. A fertility evaluation and HIV RNA viral load assessment was offered to couples who did not become pregnant. Forty female positive/male negative HIV-serodiscordant couples were enrolled; 17 (42.5%) exited prior to timed vaginal insemination. Twenty-three couples (57.5%) were introduced to timed vaginal insemination; eight (34.8%) achieved pregnancy, and six live births resulted without a case of HIV transmission. Seven couples completed a fertility evaluation. Four women had no demonstrable tubal patency bilaterally; one male partner had decreased sperm motility. Five women had unilateral/bilateral tubal patency; and seven women had an HIV RNA viral load (≥ 400 copies/mL). Timed vaginal insemination is an acceptable, feasible, and effective method for attempting pregnancy. Given the desire for children and inadequate viral suppression, interventions to support safely becoming pregnant should be integrated into HIV prevention programs.",2019,,PloS one,14,3,e0212656,,10.1371/journal.pone.0212656,30840672,#1919,Mmeje 2019,"",""
Prevalence of sexually transmitted infections among pregnant women with known HIV status in northern Tanzania.,Msuya SE.; Uriyo J.; Hussain A.; Mbizvo EM.; Jeansson S.; Sam NE.; Stray-Pedersen B.,"To determine the prevalence of sexually transmitted infections (STIs) and other reproductive tract infections (RTIs) among pregnant women in Moshi, Tanzania and to compare the occurrence of STIs/RTIs among human immunodeficiency virus (HIV)-infected and uninfected women. Pregnant women in their 3rd trimester (N = 2654) were recruited from two primary health care clinics between June 2002 and March 2004. They were interviewed, examined and genital and blood samples were collected for diagnosis of STIs/RTIs and HIV. The prevalence of HIV, active syphilis and herpes simplex virus - type 2 (HSV-2) were 6.9%, 0.9% and 33.6%, respectively, while 0.5% were positive for N gonorrhoeae, 5.0% for T vaginalis and 20.9% for bacterial vaginosis. Genital tract infections were more prevalent in HIV-seropositive than seronegative women, statistically significant for syphilis (3.3% vs 0.7%), HSV-2 (43.2% vs 32.0%), genital ulcers (4.4% vs 1.4%) and bacterial vaginosis (37.2% vs 19.6%). In comparison with published data, a declining trend for curable STIs/RTIs (syphilis, trichomoniasis and bacterial vaginosis) was noted. Rates of STIs and RTIs are still high among pregnant women in Moshi. Where resources allow, routine screening and treatment of STIs/RTIs in the antenatal care setting should be offered. Higher STIs/RTIs in HIV-seropositive women supports the expansion of HIV-counseling and testing services to all centers offering antenatal care. After identification, STIs/RTIs need to be aggressively addressed in HIV-seropositive women, both at antenatal and antiretroviral therapy care clinics.",2009,Feb,Reproductive health,6,,4,,10.1186/1742-4755-6-4,19243592,#725,Msuya 2009,"",""
Sexually Transmitted Infections among HIV-1-Discordant Couples,"Guthrie, B. L.; Kiarie, J. N.; Morrison, S.; John-Stewart, G. C.; Kinuthia, J.; Whittington, W. L. H.; Farquhar, C.","Introduction: More new HIV-1 infections occur within stable HIV-1-discordant couples than in any other group in Africa, and sexually transmitted infections (STIs) may increase transmission risk among discordant couples, accounting for a large proportion of new HIV-1 infections. Understanding correlates of STIs among discordant couples will aid in optimizing interventions to prevent HIV-1 transmission in these couples. Methods: HIV-1-discordant couples in which HIV-1-infected partners were HSV-2-seropositive were tested for syphilis, chlamydia, gonorrhea, and trichomoniasis, and HIV-1-uninfected partners were tested for HSV-2. We assessed sociodemographic, behavioral, and biological correlates of a current STI. Results: Of 416 couples enrolled, 16% were affected by a treatable STI, and among these both partners were infected in 17% of couples. A treatable STI was found in 46 (11%) females and 30 (7%) males. The most prevalent infections were trichomoniasis (5.9%) and syphilis (2.6%). Participants were 5.9-fold more likely to have an STI if their partner had an STI (P<0.01), and STIs were more common among those reporting any unprotected sex (OR = 2.43; P<0.01) and those with low education (OR = 3.00; P<0.01). Among HIV-1-uninfected participants with an HSV-2-seropositive partner, females were significantly more likely to be HSV-2-seropositive than males (78% versus 50%, P<0.01). Conclusions: Treatable STIs were common among HIV-1-discordant couples and the majority of couples affected by an STI were discordant for the STI, with relatively high HSV-2 discordance. Awareness of STI correlates and treatment of both partners may reduce HIV-1 transmission.",2009,Dec,PLoS One,4,12,8,WOS:000272830300030,10.1371/journal.pone.0008276,,#6673,Guthrie 2009,"",""
"Prevalence and Correlates of Genital Infections Among Newly Diagnosed Human Immunodeficiency Virus-Infected Adults Entering Human Immunodeficiency Virus Care in Windhoek, Namibia.",Djomand G.; Schlefer M.; Gutreuter S.; Tobias S.; Patel R.; DeLuca N.; Hood J.; Sawadogo S.; Chen C.; Muadinohamba A.; Lowrance DW.; Bock N.,"Identifying and treating genital infections, including sexually transmitted infections (STI), among newly diagnosed human immunodeficiency virus (HIV)-infected individuals may benefit both public and individual health. We assessed prevalence of genital infections and their correlates among newly diagnosed HIV-infected individuals enrolling in HIV care services in Namibia. Newly diagnosed HIV-infected adults entering HIV care at 2 health facilities in Windhoek, Namibia, were recruited from December 2012 to March 2014. Participants provided behavioral and clinical data including CD4+ T lymphocyte counts. Genital and blood specimens were tested for gonorrhea, Chlamydia, trichomoniasis, Mycoplasma genitalium, syphilis, bacterial vaginosis, and vulvovaginal candidiasis. Among 599 adults, 56% were women and 15% reported consistent use of condoms in the past 6 months. The most common infections were bacterial vaginosis (37.2%), trichomoniasis (34.6%) and Chlamydia (14.6%) in women and M. genitalium (11.4%) in men. Correlates for trichomoniasis included being female (adjusted relative risk, [aRR], 7.18; 95% confidence interval [CI], 4.07-12.65), higher education (aRR, 0.58; 95% CI, 0.38-0.89), and lower CD4 cell count (aRR, 1.61; 95% CI, 1.08-2.40). Being female (aRR, 2.39; 95% CI, 1.27-4.50), nonmarried (aRR, 2.30; (95% CI, 1.28-4.14), and having condomless sex (aRR, 2.72; 95% CI, 1.06-7.00) were independently associated with chlamydial infection. Across all infections, female (aRR, 2.31; 95% CI, 1.79-2.98), nonmarried participants (aRR, 1.29; 95% CI, 1.06-1.59), had higher risk to present with any STI, whereas pregnant women (aRR, 1.16, 95% CI 1.03-1.31) were at increased risk of any STI or reproductive tract infection.",2016,Nov,Sexually transmitted diseases,43,11,698-705,,10.1097/OLQ.0000000000000513,27893600,#1974,Djomand 2016,"",""
"The Prevalence of Mycoplasma genitalium and Association With Human Immunodeficiency Virus Infection in Symptomatic Patients, Johannesburg, South Africa, 2007-2014.",Mahlangu MP.; Müller EE.; Venter JME.; Maseko DV.; Kularatne RS.,"Mycoplasma genitalium is associated with genital discharge syndrome, but limited prevalence data are available in South Africa. The prevalence rates of M. genitalium infection and human immunodeficiency virus (HIV) coinfection were determined in urogenital specimens collected from male and female patients presenting with genital discharge syndrome to a primary health care center in Johannesburg, South Africa from 2007 through 2014. Genital specimens from 4731 patients were tested by a validated in-house multiplex real-time polymerase chain reaction assay for the detection of Neisseria gonorrhoeae, Chlamydia trachomatis, Trichomonas vaginalis, and M. genitalium. Sera were tested for HIV infection using the Determine HIV 1/2 and Unigold assays. The relative prevalence of M. genitalium in males and females was 8.9% and 10.6%, respectively. The prevalence of HIV infection in those infected with M. genitalium, without other sexually transmitted infections (STIs), was significantly higher than in those without M. genitalium infection (48.9% vs. 40.5%, P = 0.014). This significant difference in HIV seroprevalence was particularly observed among females in the study cohort. The relative prevalence of M. genitalium and its association with prevalent HIV among females with vaginal discharge syndrome (VDS) calls for further research on the potential role of M. genitalium in the transmission and acquisition of HIV.",2019,06,Sexually transmitted diseases,46,6,395-399,,10.1097/OLQ.0000000000000984,31095102,#1891,Mahlangu 2019,"",""
